clust,num,tissue.subsets,tissue,identity.super,identity.sub,identity.super.short,identity.sub.short,zfin,daniocell.cluster,clust.collapse,ident.gene.1,ident.gene.2,ident.gene.3,roc.1,roc.2,roc.3,roc.4,roc.5,roc.6,wilcox.1,wilcox.2,wilcox.3,wilcox.4,wilcox.5,wilcox.6,
epid.19,19,epidermis,epidermis,epidermis,"108-120 hpf, technical (low UMI)",epidermis,108-120 hpf (tech. low UMI),,epid.19,epid.ct.1,cldni,cldn1,,rpl36,rps29,rplp2,rpl29,rpl38,rpl37,CU693494.2,rpl36,rps29,rplp2,rpl29,rpl38,
epid.20,20,epidermis,epidermis,pharyngeal pouch,neural crest derived? 90-120 hpf (pax1a/b+ foxc1a/b+),pharyngeal pouch,NC-derived? 90-120 hpf,,epid.20,epid.ct.25,barx1/nkx2.3,pax1a/pax1b,foxc1a/foxc1b,nme2b.1,crip1,rhbg,rpl19,faua,rpz5,adrb3a,AL954191.1,aldh1a3,apln,crip1,dmrt3a,
epid.21,21,epidermis,epidermis,taste epithelium,sox8b+/id2b+,taste epithelium,sox8b+/id2b+,,epid.21,epid.ct.21,pou2f3,gng13a/trpm5/avil,sox8b/id2b,cldnb,myb,pou2f3,ucp2,id2b,hsp90ab1,adgrf3a,adgrg11,ak5,alox5ap,avil,CABZ01056052.1,
epid.22,22,epidermis,epidermis,placodal ectoderm,six3a/3b+,placodal ectoderm,six3a/3b+,,epid.22,epid.ct.22,six3a/b,foxe3,foxi1,hmga1a,khdrbs1a,hnrnpa0l,h3f3d,h2afvb,nid2a,arl3l1,BX927258.1,dmbx1a,foxe3,gdf6a,hapln1b,
epid.23,23,epidermis,epidermis,epidermis,nose? (tkta/oct2/gyg1b+),epidermis,nose? (tkta/oct2/gyg1b+),,epid.23,epid.ct.23,tkta/oct2,gyg1b,cldn1/cldni,si:dkey-164f24.2,tkta,cckb,tnn,mgarp,zgc:175088,bgnb,brinp2,foxq1b,gyg1b,mettl24,mgarp,
epid.24,24,epidermis,epidermis,periderm,"oral / pharyngeal epithelium (later, krt98/rhcga+)",periderm,oral/pharyngeal epith. (later),,epid.24,epid.ct.4,lye,krt1-19d,krt98/rhcga,zgc:111983,anxa1c,si:ch211-207n23.2,cldne,pkhd1l1,evplb,abca12,abcb5,adgrf6,adrb3a,agr1,ankk1,
epid.25,25,epidermis,epidermis,pharyngeal pouch,early,pharyngeal pouch,early,,epid.25,epid.ct.25,barx1,nkx2.3,ripply3,si:ch211-152c2.3,khdrbs1a,si:dkey-261h17.1,krt18a.1,ran,ybx1,apela,cxcl12b,cyp27c1,fgfrl1b,foxa1,foxa2,
epid.26,26,epidermis,epidermis,epidermis,"somitogenesis, mid-body or pharyngeal",epidermis,"14-18 hpf, mid-body/pharyngeal",,epid.26,epid.ct.1,nkx2.3,apcdd1l,sfrp5,fn1a,ywhaqa,nid2a,dag1,pcdh19,cnn2,adgra3,akap12b,apcdd1l,apoc1,bambib,bcl3,
epid.27,27,epidermis,epidermis,likely doublets,epidermis / ionocyte,likely doublets,epidermis / ionocyte,,epid.27,,atp1a1a.2/3,atp1b1b,foxi3b/cldnh,si:dkey-33i11.4,atp1b1b,cldnh,foxi3b,BX000438.2,ndrg3a,abcb5,adgrf6,adgrf8,agrp,atp1a1a.2,atp1a1a.3,
epid.28,28,epidermis,epidermis,epidermis,"90-110 hpf, technical (low UMI)",epidermis,"90-110 hpf, (tech. low UMI)",,epid.28,epid.ct.1,cldn1/cldni,krtt1c19e,,mt-co2,COX3,mt-atp6,mt-cyb,zgc:158463,mt-nd1,mt-co2,COX3,mt-atp6,mt-cyb,zgc:158463,mt-nd1,
epid.29,29,epidermis,epidermis,likely doublets,epidermis / neural,likely doublets,epidermis / neural,,epid.29,,cldnb/cldni,msi1,cspg5a,XLOC-003690,mdkb,fabp7a,nova2,si:ch211-137a8.4,hmgb1b,atp1a1b,atp1b4,cldn5a,CR848047.1,CU467822.1,dla,
epid.30,30,epidermis,epidermis,likely doublets,epidermis / mesenchyme,likely doublets,epidermis / mesenchyme,,epid.30,,col6a1,twist1a/1b,pdgfra/acta2/loxl1,cd81a,pmp22a,msna,mfap2,bhmt,cfl1,acana,cd248b,col11a2,col6a1,col6a2,col8a2,
epid.31,31,epidermis,epidermis,likely doublets,epidermis / neural / eye,likely doublets,epidermis / neural / eye,,epid.31,,syt5b,krtt1c19e,crx,syt5b,ckbb,atp6v0cb,snap25b,rs1a,rnasekb,arl3l2,atp1a3a,atp2b1b,atp6v0cb,bhlhe23,cabp2a,
epid.32,32,epidermis,epidermis,gill,neuroepithelium (pou2f3+ pvalb8+),gill,neuroepithelium (pou2f3/pvalb8+),,epid.32,epid.ct.32,cldn1/cldni,cldnh,grp/gfral/vill/pvalb8,grp,pvalb8,CR759836.1,cldnh,CABZ01073083.1,itpr3,BX247868.1,CABZ01073083.1,CABZ01095001.1,chga,cldnh,cngb3.2,
epid.33,33,epidermis,epidermis,epidermis,"somitogenesis, mid-body (low UMI)",epidermis,"14-18 hpf, mid-body (low UMI)",,epid.33,epid.ct.1,cldn1/cldni,sfrp5,,h2afvb,h3f3d,eef1a1l1,hmgn6,cirbpb,hmga1a,hspb1,BX927258.1,apoc1,h2afvb,CABZ01038709.1,h3f3d,
epid.34,34,epidermis,epidermis,epidermis,ms4a17a.4/mmp13a/mmp9/srgn/cbx7a+,epidermis,ms4a17a.4/mmp9/mmp13a+,,epid.34,epid.ct.1,cldn1/cldni,mmp9/mmp13a,ms4a17a.4,cxcl18a.1,CR855311.1,ms4a17a.4,fn1b,igfbp1a,ms4a17a.5,ms4a17a.4,srgn,mmp13a,cbx7a,ms4a17a.2,ms4a17a.10,
epid.35,35,epidermis,epidermis,periderm,posterior (later),periderm,posterior (later),,epid.35,epid.ct.4,krt1-19d/hoxb5a,evpla/evplb,krt92/krt94,gstp2,gsta.1,icn,abca12,krt92,sult6b1,aifm4,CR926130.1,cyp3a65,gstp2,lgals3bpa,LOC100334439,
epid.36,36,epidermis,epidermis,pharyngeal ectoderm,def6b+/wif1+/fgf24+,pharyngeal ectoderm,def6b+/wif1+/fgf24+,,epid.36,epid.ct.2,nkx3.3,def6b,wif1,bcam,sp6,kif26ba,ptmaa,egfl6,itm2ba,def6b,LOC103909969,vcanb,sostdc1b,wif1,pdlim3b,
epid.37,37,epidermis,epidermis,pharyngeal,neuroepithelium (tbx1+ gfra3+),pharyngeal,neuroepithelium (tbx1/gfra3+),,epid.37,epid.ct.25,tbx1/grfa3,cldn1/cldni,gfp/ngfa/ret,calm1a,scgn,vamp2,atp2b1a,cplx2,si:ch211-196h16.12,ascl1a,atp1a3b,CABZ01095001.1,CABZ01111959.1,cacna1ea,cbln1,
epid.38,38,epidermis,epidermis,likely doublets,epidermis/doublets,likely doublets,epidermis/doublets,,epid.38,,ctslb/he1.1/he1.2,cldn1/cldni,,ctslb,si:dkey-269i1.4,zgc:174153,he1.1,si:dkey-239j18.2,si:dkey-26g8.5,si:dkey-239j18.3,wu:fa26c03,he1.2,si:dkey-26g8.5,si:dkey-269i1.3,si:dkey-269i1.4,
eye.1,1,eye,eye,photoreceptors,primarily cones,photoreceptors,primarily cones,"ZFA:0009154,ZFA:0009262",eye.1,eye.ct.1,gngt2a/b,opn1sw1/opn1sw2,opn1lw2/opn1mw1,gngt2b,gnb3b,gnat2,zgc:73359,rcvrn2,prph2a,abca4b,abcg1,abhd8b,ablim3,acbd5b,actn2b,
eye.2,2,eye,eye,optic primordia,"progenitors (rx1+/rx2+/rx3–), 21-72 hpf",optic primordia,"21-72 hpf, progen. (rx1+/2+/3–)","ZFA:0001202,ZFA:0000152",eye.2,eye.ct.2,rx1/rx2,vsx2,,snu13b,npm1a,nop58,zgc:56493,pa2g4a,nop56,aaas,aamp,aars,aatf,abce1,abcf1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3459307/
eye.3,3,eye,eye,retinal progenitors,Muller glia precursors (rlbp1a+),retinal progenitors,Muller glia prec. (rlbp1a+),ZFA:0009280,eye.3,eye.ct.11,her4.1/her15.1,rlbp1a,,CU467822.1,her15.1,her12,her4.2,her4.1,fabp7a,acbd7,ahcy,akap12b,anp32b,ascl1a,asf1ba,
eye.4,4,eye,eye,retinal ganglion cells,"mature (isl2b+/pou4f1/2+, atoh7–)",retinal ganglion cells,mature (isl2b+/pou4f1/2+),ZFA:0009310,eye.4,eye.ct.4,isl2b/pou4f1/pou4f2,rbpms2a/b,atoh7–/rx1–,rbpms2b,rbpms2a,tuba1c,elavl3,tmsb4x,marcksl1b,aatkb,ablim1a,actb1,adam11,adam22,adam23a,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2562560/
eye.5,5,eye,eye,photoreceptors,precursors,photoreceptors,precursors,ZFA:0009154,eye.5,eye.ct.20,rx2,rs1a,crx,gngt2a,neurod1,zgc:109965,tulp1a,elovl4b,ckmt2a,abca4b,abhd8b,ada,agpat3,aipl2,akna,
eye.6,6,eye,eye,retinal interneurons,amacrine (pax10+),retinal interneurons,amacrine (pax10+),ZFA:0009255,eye.6,eye.ct.6,pax6a/pax6b/pax10,tfap2a/2b/2c/2e,gad1b–/gad2–,fabp3,hnrnpa0l,pax6a,pax10,elavl3,tfap2a,barhl2,bhlhe22,chd4a,cirbpb,eef1b2,eef1g,
eye.7,7,eye,eye,retinal bipolar cells,OFF (cone),retinal bipolar cells,OFF (cone),"ZFA:0009318,ZFA:0009320",eye.7,eye.ct.12,vsx1,si:ch211-232m10.6 / slc1a9,,syt5b,gapdhs,CR383676.1,vamp1,calb2b,snap25b,ankrd6a,anp32e,apof,atp1b2a,atp6ap2,atp6v0cb,
eye.8,8,eye,eye,retinal bipolar cells,ON (cone),retinal bipolar cells,ON (cone),"ZFA:0009318,ZFA:0009319",eye.8,eye.ct.12,vsx1,gnao1b/gnb3a,,gnb3a,gng13b,hbbe1.3,hbae3,mdkb,isl1,bcl2l10,bhlhe23,btg1,calb2b,chst1,cirbpb,
eye.9,9,eye,eye,retinal interneurons,"amacrine, GABAergic (pax10+)",retinal interneurons,"amacrine, GABAergic (pax10+)","ZFA:0009255,ZFA:0009276",eye.9,eye.ct.6,pax6a/pax6b/pax10,gad1b/gad2/slc32a1,tfap2c/2e,sncb,stxbp1a,slc32a1,syt1a,stx1b,stmn1b,ache,adam23a,adgrb1a,adgrb3,adgrl3.1,amph,
eye.10,10,eye,eye,retinal bipolar cells,ON (rod + cone),retinal bipolar cells,ON (rod + cone),"ZFA:0009318,ZFA:0009319,ZFA:0009321",eye.10,eye.ct.12,vsx1,gnao1b/gnb3a/lrit1a,,gnao1b,gnb3a,syt5b,rs1a,snap25b,nrn1lb,ankrd6a,anp32e,arhgef25b,atp1b2a,atp6v0cb,atp6v1e1b,
eye.11,11,eye,eye,retinal progenitors,"proliferating, 24-60hpf, vsx2+/vsx1–, notch3+",retinal progen.,"prolif. 24-60 h, vsx1-/2+ notch3+",ZFA:0000152,eye.11,eye.ct.11,vsx2/vsx1–,notch3,pcna/mcm7,pcna,si:dkey-151g10.6,rplp1,mcm7,rpl36a,dut,adssl,ahcy,anp32b,ascl1a,asf1ba,asf1bb,
eye.12,12,eye,eye,retinal bipolar cells,undifferentiated (rs1a-),retinal bipolar cells,undifferentiated (rs1a-),ZFA:0009318,eye.12,eye.ct.12,vsx1,rs1a-,,marcksl1a,marcksl1b,vsx1,cirbpb,hmgn6,neurod4,bcl2l10,btg1,calb2b,chst1,cirbpb,crx,
eye.13,13,eye,eye,retinal ganglion cells,"early precursors (atoh7+, her15.1+, hes2.1+)",retinal ganglion cells,early precursors,ZFA:0009310,eye.13,eye.ct.11,atoh7,her15.1,,insm1a,hes6,si:ch211-222l21.1,h3f3a,hmgb2a,foxn4,ahcy,anln,arhgap11a,arhgap19,arhgef7b,arl4aa,
eye.14,14,eye,eye,photoreceptors,precursors,photoreceptors,precursors,ZFA:0009154,eye.14,eye.ct.20,gngt2a,otx5,,hmgb2a,si:dkey-21o19.2,hmgn2,otx5,gngt2a,msi1,abhd14a,actb2,akna,anp32e,aplnrb,arhgap20,
eye.15,15,eye,eye,retinal ganglion cells,likely immature (nanos1+/meis2a+/celf4+),retinal ganglion,likely immature (meis2a+/celf4+),ZFA:0009310,eye.15,,isl2b/pou4f1,nanos1/meis2a,celf4/adcyap1b,elavl3,tmsb,tmsb4x,ptmaa,stmn1b,rtn1a,adam22,adcyap1b,aplp1,atcaya,bcl11ba,birc6-as2,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3825781/, https://www.biorxiv.org/content/biorxiv/early/2020/07/29/2020.07.29.226050.full.pdf"
eye.16,16,eye,eye,retinal progenitors,retinal ganglion cell / photoreceptor (atoh7+/otx5+),retinal progenitors,RGC / PR (atoh7+/otx5+),"ZFA:0000152,ZFA:0009310,ZFA:0009127",eye.16,eye.ct.11,her15.1,atoh7,otx5,si:ch211-222l21.1,rplp1,hmgn2,hmgb2b,hmga1a,rplp2l,atoh7,dlb,h2afvb,hes6,hmga1a,hmgb2b,
eye.17,17,eye,eye,optic field,"primordium (rx3+/otx1+), 7-10hpf",optic field,"primordium (rx3+/otx1+), 7-10hpf",ZFA:0000570,eye.17,eye.ct.2,rx3 ,otx1,otx2b,NC-002333.4,hspb1,ncl,si:ch211-152c2.3,npm1a,stm,abcf1,abcf2a,abracl,abt1,acin1a,acin1b,https://www.sciencedirect.com/science/article/pii/S0012160604001721
eye.18,18,eye,eye,retinal progenitors,"proliferating, 36-60 hpf (hes2.1+)",retinal progenitors,"prolif., 36-60 hpf (hes2.1+)",ZFA:0000152,eye.18,eye.ct.11,vsx2–/vsx1–,her4.1/4.2/15.1,,dla,her4.2,LOC798783,si:ch211-222l21.1,hes6,her15.1,ahcy,ascl1a,asf1ba,atad5a,atoh7,banf1,
eye.19,19,eye,eye,likely doublets,photoreceptors / mesenchyme,likely doublets,photoreceptors / mesenchyme,,eye.19,,gngt2b/syt5b,col1a1a/col5a1/col12a1/col1a2,,pmp22a,sparc,col1a2,krt8,col5a1,col1a1a,abi3bpb,ackr3b,actn1,acvrl1,adgra2,aebp1,
eye.20,20,eye,eye,photoreceptors,"precursors, rod? (pde6gb+/otx5+)",photoreceptors,"precursors, rod? (pde6gb+/otx5+)","ZFA:0009154,ZFA:0009275",eye.20,eye.ct.20,otx5,crx,pde6gb,fabp7a,pde6gb,otx5,msi1,stmn1a,rps21,fabp7a,fkbp1ab,msi1,nr2e3,otx5,pde6gb,
eye.21,21,eye,eye,retinal bipolar cells,ON (cone),retinal bipolar cells,ON (cone),"ZFA:0009318,ZFA:0009319",eye.21,eye.ct.12,vsx1,gnao1b/gnb3a,,gnb3a,gng13b,mdkb,btg1,ptmab,isl1,btg1,calb2b,crx,dab1b,gnao1b,gnb3a,
eye.22,22,eye,eye,retinal pigmented epithelium,"early, developing",retinal pigmented epithelium,early/developing,"ZFA:0000064,ZFA:0000144",eye.22,eye.ct.22,pmela/pmelb,cyp27c1/tyrp1b,col15a1b/gstp1,pmela,dct,gstp1,tspan36,sparc,tyrp1b,aadac,abracl,ackr3b,actn1,adi1,adra2b,
eye.23,23,eye,eye,retinal progenitors,retinal ganglion cell / cone bipolar / oligodendrocytes (atoh7+/vsx1+/olig2+/hes2.1+),retinal progenitors,RGC / CBP / oligo.,"ZFA:0000152,ZFA:0009310,ZFA:0009322,ZFA:0009076",eye.23,eye.ct.11,her15.1,otx2b,vsx1/olig2/atoh7,hmgn2,h3f3a,hmgb2a,tubb4b,hes6,si:ch211-222l21.1,arl4aa,armc1l,arpp19b,aspm,aurka,aurkb,
eye.24,24,eye,eye,retinal interneurons,"amacrine, glycinergic (some glutaminergic)",retinal interneurons,amacrine [glycin./glut.],"ZFA:0009255,ZFA:0009396,ZFA:0009290",eye.24,eye.ct.6,pax6a/pax6b/tfap2a/tfap2b,slc6a9/slc17a7a,scrt1a/rnd1a/b,slc17a7a,pax6b,slc6a9,gpm6aa,nhlh2,calm2b,basp1,BX005048.1,cabp1b,CABZ01072885.1,calm2b,camkvb,
eye.25,25,eye,eye,lens,epithelium,lens,epithelium,ZFA:0001326,eye.25,eye.ct.25,foxe3,pitx3,tkta,fabp11a,pitx3,foxe3,tgfb3,atp1b1a,hmx4,aamp,ackr4b,acmsd,adka,aebp1,alpl,
eye.26,26,eye,eye,optic primordia,"progenitors (rx1+/rx2+/rx3–), 14-18 hpf",optic primordia,"progen. (rx1+/2+/3-), 14-18 hpf",ZFA:0000050,eye.26,eye.ct.2,rx1/rx2,vsx2,,eef1a1l1,npm1a,snu13b,paics,nhp2,eif4ebp3l,aamp,aatf,abce1,abhd10b,abt1,acot14,https://www.sciencedirect.com/science/article/pii/S0012160604001721
eye.27,27,eye,eye,retinal interneurons,horizontal cells (ompa+/opn9+),retinal interneurons,horizontal (ompa+/opn9+),ZFA:0009315,eye.27,eye.ct.27,ompa,opn9,rem1/slc4a5,CR361564.1,si:ch211-56a11.2,onecut2,tmsb4x,rem1,tnr,abhd6b,adamts5,adcy3a,atp1b1a,bckdhbl,btbd17a,
eye.28,28,eye,eye,photoreceptors,rods,photoreceptors,rods,"ZFA:0009154,ZFA:0009275",eye.28,eye.ct.28,saga/sagb,gnat1,rom1b,sagb,pde6gb,si:ch211-113d22.2,saga,gnat1,gngt1,aanat1,abca4b,ablim3,agpat3,aipl1,alkal1,
eye.29,29,eye,eye,retinal progenitors,Muller glia precursors (atp1a1b+/fabp7a+),retinal progen.,Muller glia prec. atp1a1b/fabp7a+,"ZFA:0000152,ZFA:0009280",eye.29,,her4.1/her15.1,atp1a1b/fabp7a,,CU467822.1,XLOC-003690,her15.1,zgc:165461,her4.1,XLOC-003692,ascl1b,atp1a1b,atp1b4,BX511161.1,ca4a,CR848047.1,
eye.30,30,eye,eye,retinal ganglion cells,"precursors, atoh7+",retinal ganglion cells,"precursors, atoh7+",ZFA:0009310,eye.30,eye.ct.4,atoh7,rx1,rbpms2b,cxcr4b,elavl3,fabp3,rbpms2b,zgc:158291,scrt2,adam22,adcyap1b,agrn,alcama,atoh7,barhl1a,
eye.31,31,eye,eye,retinal progenitors ,cone bipolar / photoreceptor (vsx1+/otx5+),retinal progenitors ,CBP / PR (vsx1+/otx5+),"ZFA:0000152,ZFA:0009322,ZFA:0009127",eye.31,eye.ct.11,her15.1,vsx1,otx5,cirbpb,mdka,hmgn2,si:ch211-222l21.1,hmgb1a,ptmab,cirbpb,mdka,scrt2,fkbp1ab,tp53inp2,hmgn2,
eye.32,32,eye,eye,retinal interneurons,"starbust amacrine, GABAergic",retinal interneurons,"starbust amacrine, GABAergic","ZFA:0009255,ZFA:0009276",eye.32,eye.ct.32,pax6a/pax6b,slc18a3a/rgs9bp,gad1b,mdkb,gnb1a,calm2b,pvalb6,syt1a,calm1a,abat,abcc8b,apof,arl4ab,arl4ca,atp2b3a,
eye.33,33,eye,eye,retinal progenitors,"proliferating, 28-36 hpf",retinal progenitors,"proliferating, 28-36 hpf",ZFA:0000152,eye.33,eye.ct.11,vsx2/vsx1–,cdca7a,pcna/mcm7,si:dkey-151g10.6,rps28,rpl39,rpl29,rpl38,pcna,aep1,anxa1c,cdca7a,ctslb,cyt1l,esco2,
eye.34,34,eye,eye,lens,fiber,lens,fiber,ZFA:0009401,eye.34,eye.ct.25,cryba1b,crybb1,crygm2d8/crygm2d10,cryba4,cryba1b,crybb1,cryba1l1,crygn2,cryba2b,aifm5,aldh18a1,anxa13,anxa3b,arid3c,asns,
eye.35,35,eye,eye,retinal pigmented epithelium,anterior (shha/shhb/rpe65a+),retinal pigmented epith.,anterior (shh/rpe65a+),ZFA:0000144,eye.35,eye.ct.22,pmela/pmelb,shha/shhb,rpe65a,rgrb,rgra,rpe65a,rlbp1b,dct,pmela,aadac,abcg4b,abhd3,abtb2a,acaa1,ackr4b,
eye.36,36,eye,eye,retinal bipolar cells,ON (high mito),retinal bipolar cells,ON (high mito),"ZFA:0009318,ZFA:0009319",eye.36,,vsx1,gnao1b/gnb3a,,mt-co2,COX3,mt-cyb,mt-atp6,mt-co1,CR383676.1,COX3,mt-co2,mt-cyb,mt-atp6,mt-co1,CR383676.1,
eye.37,37,eye,eye,optic cup,"ventral region, stalk, (vax1+/vax2+)",optic cup,"ventral, stalk, (vax1/2+)","ZFA:0001202,ZFA:0000137",eye.37,eye.ct.2,vsx2/vsx1–,vax1/vax2/rdh10a,pax2a/pax2b/pax8,aldh1a3,cyp27c1,rdh10a,ephb3,rgmd,smoc1,aldh1a3,apcdd1l,bmp7b,bmpr1ba,c1qtnf12,cdon,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1132010/, https://journals.biologists.com/dev/article/130/5/955/52025/Hedgehog-signalling-maintains-the-optic-stalk"
eye.38,38,eye,eye,preoptic area,oligodendrocyte precursors (olig2+),preoptic area,oligodendrocyte prec. (olig2+),"ZFA:0000470,ZFA:0009076",eye.38,eye.ct.11,olig2,otx2b,notch1a/notch1b/dld/dla,LOC798783,her4.2,her15.1,XLOC-003692,dla,hes2.2,cald1a,CR848047.1,CU467822.1,dla,dlb,dld,"https://www.biorxiv.org/content/10.1101/2022.02.14.480410v1.full, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5772988/"
eye.39,39,eye,eye,retinal bipolar cells,"ON (cone + rod, but vsx1-/gnao1b-?)",retinal bipolar cells,ON (cone + rod),"ZFA:0009318,ZFA:0009319,ZFA:0009321",eye.39,eye.ct.12,vsx1-/gnao1b-?,gnb3a/lrit1a,,lmo4b,syt5b,neurod1,gnb3a,CR383676.1,ckbb,bhlhe23,cabp5b,calb1,gabrr3b,gem,gnb3a,
eye.40,40,eye,eye,retinal progenitors,"proliferating, 34-48 hpf",retinal progenitors,"proliferating, 34-48 hpf",ZFA:0000152,eye.40,eye.ct.11,vsx2/vsx1–,e2f3/prc1a,ccnd1/her4.1/her12,ccnd1,her12,tuba8l,her4.1,rrm1,mki67,arl4aa,armc1l,aspm,aurka,ccnb1,ccnb3,
eye.41,41,eye,eye,epiphysis photoreceptor cells,,epiphysis photoreceptor,,"ZFA:0000019,ZFA:0009127",eye.41,eye.ct.41,exorh,rcvrnb,bsx,ctsla,id1,sparc,sdc4,atp1b1a,wls,asip2b,bmp1b,bsx,BX248318.1,BX469902.1,ccbe1,
fin.1,1,fin,fin epithelia,fin periderm,,fin periderm,,"ZFA:0001185,ZFA:0000108",fin.1,fin.ct.1,and1/and2/and3,lye/cldn1/cldni,,lye,si:ch211-207n23.2,si:ch211-125o16.4,anxa1c,si:ch211-195b11.3,cldne,abca12,abcb5,agr1,anxa1b,anxa1c,ap1s3b,
fin.2,2,fin,fin epithelia,fin epidermis,"medial fin (krt97+), 84-120 hpf",fin epidermis,"medial fin, 84-120 hpf","ZFA:0000105,ZFA:0005597",fin.2,fin.ct.6,and1/and2/and3,cldn1/cldni,krt97,and3,rbp4,apoeb,adamtsl7,egfl6,cldni,and3,adamtsl7,apoeb,rbp4,clu,cckb,
fin.3,3,fin,fin epithelia,fin epidermis,"pectoral fin (krt91+), 36-94 hpf",fin epidermis,"pectoral fin, 36-94 hpf","ZFA:0000105,ZFA:0001161",fin.3,fin.ct.6,and1/and2/and3,cldn1/cldni,krt91,si:dkey-33c14.3,krt91,krt5,cxl34b.11,rbp4,mmp30,mmp30,si:dkey-33c14.3,krt91,cxl34b.11,col17a1a,zgc:136930,
fin.4,4,fin,fin mesenchyme,fin mesenchyme,"ventral fold, not caudal",fin mesenchyme,"ventral fold, not caudal","ZFA:0000393,ZFA:0001069",fin.4,fin.ct.13,and1/and2/and4,twist1a/twist1b/prrx1b,eve1-/hoxc13b-,bhmt,fbln1,hpdb,CABZ01074130.1,qdpra,ttc36,hpdb,qdpra,fbln1,ttc36,hgd,bhmt,
fin.5,5,fin,fin epithelia,fin epidermis,"pectoral fin (krt91+), 96-120 hpf",fin epidermis,"pectoral fin, 96-120 hpf","ZFA:0000105,ZFA:0001161",fin.5,fin.ct.6,and1/and2/and3,cldn1/cldni,krt91,pfn1,actb1,cotl1,col11a1a,ywhaz,postnb,frem3,col11a1a,pfn1,scinla,cotl1,actb1,
fin.6,6,fin,fin epithelia,fin epidermis,apical ectodermal ridge,fin epidermis,apical ectodermal ridge,"ZFA:0000105,ZFA:0001702",fin.6,fin.ct.6,and1/and3,cldn1/cldni,ecm2/frem1a/frem2a/fgf8a,hapln3,fras1,rspo2,nid2a,itih5,frem1a,col14a1a,dkk1a,dkk1b,ecm2,hapln3,hs3st3b1a,
fin.7,7,fin,,fin epidermis + mesenchyme,"ventral fold, caudal (eve1/hoxc13b+), proliferative",fin epid. + mese.,"ventral fold, caudal, prolif.","ZFA:0000105,ZFA:0001069",fin.7,fin.ct.13,and1/and2/and3,twist1a/twist1b/prrx1b/cldn1/cldni,eve1/hoxb13a/hoxc13b,hmgb2a,tubb2b,h3f3a,tuba8l4,mki67,hmgn2,anln,armc1l,aspm,aurka,aurkb,ccna2,
fin.8,8,fin,fin epithelia,fin epidermis,"medial fin (krt97+), 36-82 hpf, technical (low UMI)",fin epidermis,"medial fin, 36-82 hpf (low UMI)","ZFA:0000105,ZFA:0005597",fin.8,fin.ct.6,and1/and2/and3,cldn1/cldni,krt97,tmsb4x,and1,pabpc1a,rps29,rpl38,rpl29,tmsb4x,and1,pabpc1a,rps29,rpl38,rpl29,
fin.9,9,fin,,likely doublets,fin / neural,likely doublets,fin / neural,,fin.9,,and1/and2/and3,elavl3,,stmn1b,gpm6aa,tuba1c,elavl3,gpm6ab,rtn1a,aplp1,atp6v0cb,camk2d2,cdk5r1b,celf5a,cnrip1a,
fin.10,10,fin,fin mesenchyme,medial fin mesenchyme,"ventral fold, caudal (eve1/hoxc13b+)",medial fin mesenchyme,"ventral fold, caudal","ZFA:0000393,ZFA:0005597",fin.10,fin.ct.13,and1,twist1a/twist1b/prrx1b,eve1/hoxb13a/hoxc13b,pmp22a,crabp1b,mfap2,cd81a,cd82a,si:ch211-286o17.1,crabp1b,hoxb13a,si:ch211-286o17.1,si:dkey-261h17.1,foxd2,si:dkeyp-66d1.7,
fin.11,11,fin,fin epithelia,epidermis/periderm,,epidermis/periderm,,"ZFA:0000105,ZFA:0001185,ZFA:0000108",fin.11,fin.ct.1,lye/cldn1/cldni,,,si:dkey-247k7.2,zgc:136930,krt17,si:dkey-183i3.5,krtt1c19e,fut9d,abcb5,cyldb,eevs,fut9d,ponzr3,rhbg,
fin.12,12,fin,fin mesenchyme,fin mesenchyme,dorsal fold,fin mesenchyme,dorsal fold,"ZFA:0000393,ZFA:0000102",fin.12,fin.ct.13,and1/and2,twist1a/twist1b/prrx1b,gdf6a/wnt11r,ttc36,fbln1,hgd,hpdb,vstm4a,ptx3a,vstm4a,ccdc80l1,hpdb,ptx3a,ttc36,si:ch211-14k19.8,
fin.13,13,fin,fin mesenchyme,medial fin mesenchyme,"ventral fold, caudal (eve1-/hoxc13b+)",medial fin mesenchyme,"ventral fold, caudal","ZFA:0000393,ZFA:0001069",fin.13,fin.ct.13,and1/and2,twist1a/twist1b/prrx1b,hoxb13a/hoxc13b,rplp1,rplp2l,rpl23,rps9,rps23,faua,LOC100535130,rplp1,si:dkey-202e22.2,rplp2l,rpl23,rps9,
fin.14,14,fin,,likely doublets,fin / neural,likely doublets,fin / neural,,fin.14,,and1/and2/and3,elavl3,,ckbb,mdkb,gpm6aa,nova2,hmgb1b,fabp7a,syt5b,rs1a,cplx4a,vsx1,crx,neurod4,
fin.15,15,fin,fin epithelia,fin epidermis,"medial fin (krt97+), 36-120 hpf",fin epidermis,"medial fin, 36-120 hpf","ZFA:0000105,ZFA:0005597",fin.15,fin.ct.6,and1/and2/and3,cldn1/cldni,krt97,si:dkey-248g15.3,krt97,angptl7,and1,ptgdsb.1,zgc:92380,angptl7,krt97,krt96,si:dkey-248g15.3,stc2a,thbs4a,
